Team,Logo,Year,Home Wins,Home Draws,Home Losses,Away Wins,Away Draws,Away Losses,Total Wins
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2005,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2006,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2007,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2008,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2009,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2010,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2011,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2012,5,6,6,2,3,5,7
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2013,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2014,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2015,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2016,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2017,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2018,6,7,4,2,9,6,8
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2019,3,11,3,6,2,3,9
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2020,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2021,0,0,0,0,0,0,0
Dusseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,2022,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2005,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2006,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2007,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2008,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2009,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2010,0,0,0,0,0,0,0
Augsburg,https://i.imgur.com/sdE62e2.png,2011,6,7,4,2,7,6,8
Augsburg,https://i.imgur.com/sdE62e2.png,2012,5,5,7,3,4,5,8
Augsburg,https://i.imgur.com/sdE62e2.png,2013,9,3,5,6,4,9,15
Augsburg,https://i.imgur.com/sdE62e2.png,2014,9,4,4,6,0,9,15
Augsburg,https://i.imgur.com/sdE62e2.png,2015,4,9,4,6,7,4,10
Augsburg,https://i.imgur.com/sdE62e2.png,2016,2,10,5,2,10,2,4
Augsburg,https://i.imgur.com/sdE62e2.png,2017,5,4,8,5,5,5,10
Augsburg,https://i.imgur.com/sdE62e2.png,2018,8,3,6,3,9,8,11
Augsburg,https://i.imgur.com/sdE62e2.png,2019,5,8,4,5,7,5,10
Augsburg,https://i.imgur.com/sdE62e2.png,2020,6,4,7,4,2,6,10
Augsburg,https://i.imgur.com/sdE62e2.png,2021,7,4,6,3,4,7,10
Augsburg,https://i.imgur.com/sdE62e2.png,2022,6,4,7,3,3,6,9
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2005,5,4,8,2,5,5,7
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2006,0,0,0,0,0,0,0
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2007,0,0,0,0,0,0,0
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2008,4,5,8,7,1,4,11
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2009,3,6,8,6,5,3,9
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2010,11,2,4,2,3,11,13
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2011,5,4,8,3,2,5,8
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2012,0,0,0,0,0,0,0
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2013,0,0,0,0,0,0,0
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2014,4,9,4,5,4,4,9
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2015,2,9,6,5,5,2,7
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2016,7,9,1,2,8,7,9
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2017,6,3,8,3,4,6,9
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2018,0,0,0,0,0,0,0
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2019,9,1,7,2,3,9,11
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2020,3,5,9,5,4,3,8
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2021,9,4,4,5,6,9,14
Koln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,2022,6,5,6,4,7,6,10
Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,2005,7,6,4,7,4,7,14
