Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium
2000,05/02/2000,Italy,0,Scotland,0,34,20,Stadio Flaminio
2000,05/02/2000,England,0,Ireland,0,50,18,Twickenham Stadium
2000,05/02/2000,Wales,0,France,0,3,36,Millennium Stadium
2000,19/02/2000,Wales,0,Italy,0,47,16,Millennium Stadium
2000,19/02/2000,France,0,England,0,9,15,Stade de France
2000,19/02/2000,Ireland,0,Scotland,0,44,22,Lansdowne Road
2000,04/03/2000,Scotland,0,France,0,16,28,Murrayfield Stadium
2000,04/03/2000,England,0,Wales,0,46,12,Twickenham Stadium
2000,04/03/2000,Ireland,0,Italy,0,60,13,Lansdowne Road
2000,18/03/2000,Italy,0,England,0,12,59,Stadio Flaminio
2000,18/03/2000,Wales,0,Scotland,0,26,18,Millennium Stadium
2000,19/03/2000,France,0,Ireland,0,25,27,Stade de France
2000,01/04/2000,France,0,Italy,0,42,31,Stade de France
2000,01/04/2000,Ireland,0,Wales,0,19,23,Lansdowne Road
2000,02/04/2000,Scotland,0,England,0,19,13,Murrayfield Stadium
2001,03/02/2001,Italy,0,Ireland,0,22,41,Stadio Flaminio
2001,03/02/2001,Wales,0,England,0,15,44,Millennium Stadium
2001,04/02/2001,France,0,Scotland,0,16,6,Stade de France
2001,17/02/2001,Ireland,0,France,0,22,15,Lansdowne Road
2001,17/02/2001,England,0,Italy,0,80,23,Twickenham Stadium
2001,17/02/2001,Scotland,0,Wales,0,28,28,Murrayfield Stadium
2001,03/03/2001,Italy,0,France,0,19,30,Stadio Flaminio
2001,03/03/2001,England,0,Scotland,0,43,3,Twickenham Stadium
2001,17/03/2001,France,0,Wales,0,35,43,Stade de France
2001,17/03/2001,Scotland,0,Italy,0,23,19,Murrayfield Stadium
2001,07/04/2001,England,0,France,0,48,19,Twickenham Stadium
2001,08/04/2001,Italy,0,Wales,0,23,33,Stadio Flaminio
2001,22/09/2001,Scotland,0,Ireland,0,32,10,Murrayfield Stadium
2001,13/10/2001,Wales,0,Ireland,0,6,36,Millennium Stadium
2001,20/10/2001,Ireland,0,England,0,20,14,Lansdowne Road
2002,02/02/2002,France,0,Italy,0,33,12,Stade de France
2002,02/02/2002,Scotland,0,England,0,3,29,Murrayfield Stadium
2002,03/02/2002,Ireland,0,Wales,0,54,10,Lansdowne Road
2002,16/02/2002,Wales,0,France,0,33,37,Millennium Stadium
